SPECIES,LATITUDE,LONGITUDE,longlat.uncertainty,Year,Month
Atriplex paludosa subsp. cordata,-34.18,138.15,10000,1967,1
Atriplex paludosa subsp. cordata,-34.18,138.15,10000,1967,1
Atriplex pumilio,-33.933333,137.633333,10000,1967,1
Atriplex acutibractea subsp. karoniensis,-33.962616,137.823318,10000,1967,1
Atriplex acutibractea subsp. acutibractea,-33.962616,137.828318,10000,1967,1
Atriplex paludosa subsp. cordata,-32.41542,133.334451,10000,1977,1
Atriplex cinerea,-33.716667,134.516667,1000,1969,1
Atriplex cinerea,-33.716667,134.516667,10000,1969,1
Atriplex prostrata,-35.533333,138.533333,10000,1983,1
Atriplex velutinella,-31.133333,140.666667,10000,1931,1
Atriplex paludosa subsp. cordata,-33.965422,134.284461,10000,1969,1
Atriplex paludosa subsp. cordata,-33.711509,137.040823,10000,1965,1
Atriplex suberecta,-34.291944,140.630556,1000,1983,1
Atriplex semibaccata,-34.183333,140.75,10000,1936,1
Atriplex semibaccata,-33.016667,138,10000,1963,1
Atriplex stipitata,-33.680833,138.934167,10000,1942,1
Atriplex paludosa subsp. cordata,-34.9,138.5,10000,1919,1
Atriplex holocarpa,-32.495394,136.769146,30000,1917,1
Atriplex suberecta,-35.083333,138.75,1000,1990,1
Atriplex paludosa subsp. cordata,-35.75,136.62,10000,1990,1
Atriplex suberecta,-34.945115,138.576656,10000,1967,1
Atriplex vesicaria,-33.655833,139.054444,30000,1895,1
Atriplex vesicaria,-33.65,139.05,10000,1895,1
Atriplex paludosa subsp. cordata,-34.9,138.5,10000,1949,1
Atriplex semibaccata,-34.908056,138.594167,10000,1967,1
Atriplex semibaccata,-34.847222,138.624444,1000,1967,1
Atriplex pseudocampanulata,-33.983333,140.983333,1000,1988,1
Atriplex eardleyae,-31.533333,138.566667,1000,1989,1
Atriplex leptocarpa,-29.966667,138.166667,1000,1989,1
Atriplex velutinella,-30.75,136.833333,1000,1989,1
Atriplex eardleyae,-29.966667,138.166667,1000,1989,1
Atriplex lindleyi,-30.5,136.9,10000,1989,1
Atriplex lindleyi subsp. lindleyi,-34.7,139.6,1000,1987,1
